,id,gender,own_car,own_house,income,income_type,education,family_status,housing_type,occupation_type,count_fam_mem,years_employed,age,total_due_months,status
41,5008852,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,1,0
42,5008853,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,16,0
46,5008854,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,2,0
47,5008855,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,29,1
48,5008856,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,4,0
49,5008857,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,28,1
50,5008858,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,11,0
51,5008859,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,5,0
52,5008860,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,4,0
53,5008861,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,4,0
54,5008862,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,3,0
55,5008863,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,2,0
56,5008864,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,3,0
57,5008865,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,2,0
58,5008866,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,2,0
59,5008867,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,4,0
60,5112846,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,4,8.7,43.2,4,1
62,5008868,F,N,Y,211500.0,State servant,Secondary education,Civil marriage,Own House,Core staff,3,12.35,44.4,25,0
63,5008870,F,N,Y,211500.0,State servant,Secondary education,Civil marriage,Own House,Core staff,3,12.35,44.4,12,0
64,5008872,M,Y,Y,276750.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,12.35,45.7,11,0
66,5008873,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,22,1
67,5008874,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,46,1
68,5008875,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,40,1
69,5008876,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,44,1
70,5008877,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,8,0
71,5008878,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,12,0
72,5008879,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,22,1
73,5008880,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,11,0
74,5008881,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,5,1
75,5008882,F,N,Y,126000.0,Commercial associate,Higher education,Married,Own House,Managers,4,4.9,34.0,40,1
76,5008884,F,N,Y,276750.0,Pensioner,Secondary education,Widow,Own House,Unemployed,1,0.0,55.3,41,1
77,5008888,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1,3.7,46.6,5,0
78,5008889,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1,3.7,46.6,5,0
79,5008890,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1,3.7,46.6,5,0
80,5112847,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1,3.7,46.6,5,0
81,5008891,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,8,1
82,5008892,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
83,5008893,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,37,1
84,5008894,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,37,1
85,5008895,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,35,1
86,5008896,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
87,5008897,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
88,5008898,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,1
89,5008899,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
90,5008900,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,1
91,5008901,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
92,5008902,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,0
93,5008903,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
94,5008904,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,0
95,5008905,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
96,5008906,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,0
97,5008907,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
98,5008908,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,0
99,5008909,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
100,5008910,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,0
101,5008911,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
102,5008912,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,21,0
103,5008913,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
104,5008914,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,19,0
105,5008915,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
106,5008916,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,18,0
107,5008917,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
108,5008918,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,17,0
109,5008919,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,1
110,5008920,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,16,0
111,5008921,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,14,1
112,5008922,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,14,0
113,5008923,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,13,1
114,5008924,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,13,1
115,5008925,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,13,1
116,5008926,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,12,0
117,5008927,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,10,1
118,5008928,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,10,0
119,5008929,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,8,1
120,5008930,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,5,0
121,5008931,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,5,1
122,5008932,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,5,0
123,5008933,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,5,1
124,5008934,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,5,1
125,5008935,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,5,1
126,5008936,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,4,1
127,5008937,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,2,0
128,5008938,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,2,1
129,5008939,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,1,1
130,5008940,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,2,0
131,5008941,F,N,Y,276750.0,Commercial associate,Secondary education,Single / not married,Rented apartment,Laborers,1,8.9,42.5,8,1
135,5008942,F,N,N,157500.0,Commercial associate,Higher education,Married,Own House,High skill tech staff,2,12.35,37.4,16,0
136,5008943,F,N,N,157500.0,Commercial associate,Higher education,Married,Own House,High skill tech staff,2,12.35,37.4,5,1
137,5008944,F,N,N,157500.0,Commercial associate,Higher education,Married,Own House,High skill tech staff,2,12.35,37.4,16,0
138,5008945,F,N,N,157500.0,Commercial associate,Higher education,Married,Own House,High skill tech staff,2,12.35,37.4,16,0
139,5008946,F,N,N,157500.0,Commercial associate,Higher education,Married,Own House,High skill tech staff,2,12.35,37.4,16,0
140,5008947,M,N,Y,135000.0,Working,Secondary education,Married,Own House,Drivers,2,3.9,42.4,13,1
141,5008948,M,N,Y,135000.0,Working,Secondary education,Married,Own House,Drivers,2,3.9,42.4,13,1
142,5008949,M,N,Y,135000.0,Working,Secondary education,Married,Own House,Drivers,2,3.9,42.4,1,1
143,5008950,M,N,Y,135000.0,Working,Secondary education,Married,Own House,Drivers,2,3.9,42.4,13,1
144,5008951,M,N,Y,225000.0,Working,Secondary education,Married,Own House,Others,3,7.7,28.3,46,1
145,5008952,M,N,Y,225000.0,Working,Secondary education,Married,Own House,Others,3,7.7,28.3,46,1
146,5008953,M,N,Y,225000.0,Working,Secondary education,Married,Own House,Others,3,7.7,28.3,28,1
147,5008954,M,N,Y,225000.0,Working,Secondary education,Married,Own House,Others,3,7.7,28.3,5,0
148,5008955,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,5,0
149,5008956,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,40,1
150,5008957,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,40,1
151,5008958,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,4,0
152,5008959,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,16,0
153,5008960,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,29,1
154,5008962,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,27,1
155,5008963,F,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,4.7,48.7,39,1
156,5008966,M,N,Y,157500.0,Working,Secondary education,Married,Own House,Others,2,2.4,43.9,16,0
157,5008967,M,N,Y,157500.0,Working,Secondary education,Married,Own House,Others,2,2.4,43.9,22,0
158,5008971,M,N,Y,157500.0,Working,Secondary education,Married,Own House,Others,2,2.4,43.9,5,0
159,5008973,M,N,Y,157500.0,Working,Secondary education,Married,Own House,Others,2,2.4,43.9,5,0
160,5008974,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,3,0
161,5008975,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,22,0
162,5008976,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,2,0
163,5008977,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,24,0
164,5008978,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,22,0
165,5008979,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,38,1
166,5008980,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.1,51,1
167,5008981,M,Y,Y,112500.0,State servant,Secondary education,Married,Own House,Drivers,2,6.5,57.2,11,1
168,5008983,M,Y,Y,112500.0,State servant,Secondary education,Married,Own House,Drivers,2,6.5,57.2,12,1
169,5008984,M,Y,Y,112500.0,State servant,Secondary education,Married,Own House,Drivers,2,6.5,57.2,59,1
170,5008986,M,Y,Y,112500.0,State servant,Secondary education,Married,Own House,Drivers,2,6.5,57.2,11,1
171,5008987,M,Y,Y,112500.0,State servant,Secondary education,Married,Own House,Drivers,2,6.5,57.2,11,1
172,5008988,M,Y,Y,112500.0,State servant,Secondary education,Married,Own House,Drivers,2,6.5,57.2,17,1
174,5008991,F,Y,Y,270000.0,Working,Secondary education,Separated,Own House,Low-skill Laborers,1,3.3,45.4,29,0
175,5008992,F,Y,Y,270000.0,Working,Secondary education,Separated,Own House,Low-skill Laborers,1,3.3,45.4,5,1
176,5008993,F,Y,Y,270000.0,Working,Secondary education,Separated,Own House,Low-skill Laborers,1,3.3,45.4,18,0
177,5008994,F,Y,Y,270000.0,Working,Secondary education,Separated,Own House,Low-skill Laborers,1,3.3,45.4,5,0
178,5008995,F,Y,Y,270000.0,Working,Secondary education,Separated,Own House,Low-skill Laborers,1,3.3,45.4,19,0
179,5112861,F,Y,Y,270000.0,Working,Secondary education,Separated,Own House,Low-skill Laborers,1,3.3,45.4,5,0
181,5008998,F,Y,Y,270000.0,Working,Higher education,Married,Own House,Managers,2,2.3,29.1,4,1
182,5008999,F,Y,Y,270000.0,Working,Higher education,Married,Own House,Managers,2,2.3,29.1,4,1
183,5009000,M,Y,Y,157500.0,Working,Secondary education,Married,Own House,Drivers,2,2.3,27.2,23,1
185,5009001,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
186,5009002,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
187,5009005,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
188,5009006,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,11,0
189,5009007,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,11,0
190,5009008,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
191,5009009,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,11,0
192,5009010,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
193,5009012,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
194,5009014,M,N,Y,166500.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,51.9,5,0
199,5009016,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,25,1
200,5009018,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,13,1
201,5009019,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,33,0
202,5009020,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,25,1
203,5009022,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,40,1
204,5009023,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,36,1
205,5009024,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,5,0
206,5009025,F,N,Y,216000.0,State servant,Higher education,Married,Own House,Others,4,8.5,42.3,34,1
209,5009027,F,Y,Y,270000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,12.35,54.4,22,0
210,5112862,F,Y,Y,270000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,12.35,54.4,29,1
211,5009028,F,Y,Y,225000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,7.6,39.6,11,0
212,5009029,F,Y,Y,225000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,7.6,39.6,16,1
213,5009031,F,N,Y,276750.0,Working,Secondary education,Single / not married,Own House,Accountants,1,3.3,28.9,14,1
214,5009032,F,N,Y,276750.0,Working,Secondary education,Single / not married,Own House,Accountants,1,3.3,28.9,14,1
216,5009033,F,N,N,255150.0,Pensioner,Higher education,Civil marriage,Rented apartment,Unemployed,2,0.0,51.2,17,1
217,5009034,F,N,N,255150.0,Pensioner,Higher education,Civil marriage,Rented apartment,Unemployed,2,0.0,51.2,18,0
218,5009035,F,N,N,255150.0,Pensioner,Higher education,Civil marriage,Rented apartment,Unemployed,2,0.0,51.2,5,0
219,5009036,F,N,N,255150.0,Pensioner,Higher education,Civil marriage,Rented apartment,Unemployed,2,0.0,51.2,19,1
220,5009037,F,N,N,255150.0,Pensioner,Higher education,Civil marriage,Rented apartment,Unemployed,2,0.0,51.2,5,1
221,5009038,F,N,N,255150.0,Pensioner,Higher education,Civil marriage,Rented apartment,Unemployed,2,0.0,51.2,13,1
222,5009039,F,N,Y,157500.0,Working,Secondary education,Single / not married,Own House,Core staff,3,1.5,39.2,5,1
223,5009040,F,N,Y,157500.0,Working,Secondary education,Single / not married,Own House,Core staff,3,1.5,39.2,4,1
224,5009042,F,N,Y,148500.0,Working,Higher education,Married,Own House,Core staff,2,2.4,48.3,21,1
225,5009043,F,N,Y,148500.0,Working,Higher education,Married,Own House,Core staff,2,2.4,48.3,19,0
226,5009044,F,N,Y,148500.0,Working,Higher education,Married,Own House,Core staff,2,2.4,48.3,5,0
227,5009045,F,N,Y,148500.0,Working,Higher education,Married,Own House,Core staff,2,2.4,48.3,5,0
228,5009046,F,N,Y,148500.0,Working,Higher education,Married,Own House,Core staff,2,2.4,48.3,8,0
229,5009047,F,N,Y,148500.0,Working,Higher education,Married,Own House,Core staff,2,2.4,48.3,12,0
231,5009050,F,N,Y,202500.0,Working,Higher education,Married,Own House,Core staff,4,6.3,30.1,14,1
232,5009051,F,N,Y,202500.0,Working,Higher education,Married,Own House,Core staff,4,6.3,30.1,43,0
233,5009052,F,N,Y,202500.0,Working,Higher education,Married,Own House,Core staff,4,6.3,30.1,48,1
234,5009053,F,N,Y,202500.0,Working,Higher education,Married,Own House,Core staff,4,6.3,30.1,14,1
235,5009055,F,N,Y,202500.0,Working,Higher education,Married,Own House,Core staff,4,6.3,30.1,14,1
236,5009056,M,N,Y,202500.0,Working,Secondary education,Single / not married,Own House,Drivers,1,2.4,24.3,10,0
237,5009057,M,N,Y,202500.0,Working,Secondary education,Single / not married,Own House,Drivers,1,2.4,24.3,10,0
238,5009058,F,Y,Y,112500.0,Commercial associate,Secondary education,Single / not married,Own House,Low-skill Laborers,1,2.2,20.5,1,1
239,5009060,F,N,Y,94500.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,61.2,4,0
240,5009062,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,38,1
241,5009063,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,28,1
242,5009064,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,5,1
243,5009065,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,11,1
244,5009066,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,16,0
245,5009067,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,5,0
246,5009068,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,23,1
247,5009069,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,36,0
248,5009070,M,Y,Y,276750.0,Working,Secondary education,Civil marriage,Own House,Sales staff,2,5.7,28.6,38,1
249,5009071,F,Y,Y,270000.0,Commercial associate,Higher education,Civil marriage,Municipal apartment,High skill tech staff,2,8.7,28.1,21,1
250,5009072,F,Y,Y,270000.0,Commercial associate,Higher education,Civil marriage,Municipal apartment,High skill tech staff,2,8.7,28.1,24,1
252,5009074,F,Y,Y,276750.0,State servant,Higher education,Married,Own House,Core staff,3,1.9,48.6,23,0
253,5009075,F,Y,Y,276750.0,State servant,Higher education,Married,Own House,Core staff,3,1.9,48.6,24,0
254,5009078,M,N,Y,180000.0,Working,Secondary education,Married,Own House,Drivers,3,3.5,38.7,31,1
255,5009079,F,N,Y,112500.0,Working,Higher education,Civil marriage,Own House,Laborers,2,8.7,27.6,44,1
256,5009080,F,N,Y,112500.0,Working,Higher education,Civil marriage,Own House,Laborers,2,8.7,27.6,16,0
257,5009081,F,N,Y,112500.0,Working,Higher education,Civil marriage,Own House,Laborers,2,8.7,27.6,17,0
258,5009083,M,N,Y,90000.0,Working,Secondary education,Married,Own House,Drivers,2,12.35,56.2,48,1
259,5009084,M,N,Y,90000.0,Working,Secondary education,Married,Own House,Drivers,2,12.35,56.2,3,0
262,5009088,M,Y,N,202500.0,Commercial associate,Higher education,Married,Own House,Laborers,4,8.2,40.4,41,0
263,5009089,M,Y,N,202500.0,Commercial associate,Higher education,Married,Own House,Laborers,4,8.2,40.4,40,0
266,5009090,M,Y,Y,247500.0,Working,Secondary education,Married,Own House,Drivers,2,11.0,34.6,14,0
267,5009092,M,Y,Y,276750.0,Working,Higher education,Married,Own House,Managers,3,3.3,33.4,4,0
